ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,ipa,grammatical_info,plural_form,basic_term,meaning,literal_translation,usage,linguistic_notes,related_lexemes,uses,ethnobiological_notes
afr-acaciaataxacantha-1,,afr,acaciaataxacantha,vlamdoring,vlamdoring,,,,,,,,,,,doring,,,,,,,
afr-acaciaataxacantha-2,,afr,acaciaataxacantha,rank wag-'n-bietjie,rank wag-'n-bietjie,,,eksteen1997[962],,,,,,,,doring,,,,,,,
afr-acaciacaffra-1,,afr,acaciacaffra,gewone haakdoring,gewone haakdoring,,,,,,,,,,,doring,,,,,,,
afr-acaciacaffra-2,,afr,acaciacaffra,katdoring,katdoring,,,,,,,,,,,doring,,,,,,,
afr-acaciacaffra-3,,afr,acaciacaffra,wag-'n-bietjie,wag-'n-bietjie,,,eksteen1997[825],,,,,,,,,,,,,,,
afr-acaciaerioloba-1,,afr,acaciaerioloba,kameeldoring,kameeldoring,,,vanrooyen2001[26],,,,,kʰa'miəldɔ:ɾɪŋ,,kameeldorings,doring,Camel thorn (acacia),camel thorn,general,derived from kameelperd (doring)  'giraffe (thorn)',,construction;fuel;shade,
afr-acaciaerioloba-2,,afr,acaciaerioloba,kameeldoringboom,kameeldoringboom,,,eksteen1997[816],,,,,,,,,,,,,,,
afr-acaciahaematoxylon-1,,afr,acaciahaematoxylon,vaalkamel,vaalkamel,,,vanderwalt1999[47],,,,,,,,,,,,,,,
afr-acaciahaematoxylon-2,,afr,acaciahaematoxylon,basterkamel,basterkamel,,,vanderwalt1999[47],,,,,,,,,,,,,,,
afr-acaciahaematoxylon-3,,afr,acaciahaematoxylon,haaikoos,haaikoos,,,vanderwalt1999[47],,,,,,,,,,,,,,,
afr-acaciahaematoxylon-4,,afr,acaciahaematoxylon,nǃHaboom,nǃHaboom,,,vanderwalt1999[47],,,,,,,,,,,,,,,
afr-acaciahaematoxylon-5,,afr,acaciahaematoxylon,vaalkameeldoring,vaalkameeldoring,,,,,,,,,,,,,,,,,,
afr-acaciahebecladahebeclada-1,,afr,acaciahebecladahebeclada,trassie bos,trassie bos,,,vanderwalt1999[51];vanrooyen2001[42],,,,,,,,bos,,,,,,,
afr-acaciahebecladahebeclada-2,,afr,acaciahebecladahebeclada,terassiebos,terassiebos,,,vanderwalt1999[51],,,,,,,,,,,,,,,
afr-acaciahebecladahebeclada-3,,afr,acaciahebecladahebeclada,kersdoring,kersdoring,,,vanderwalt1999[51],,,,,,,,,,,,,,,
afr-acaciahebecladahebeclada-4,,afr,acaciahebecladahebeclada,sikiboontjie,sikiboontjie,,,vanderwalt1999[51],,,,,,,,,,,,,,,
afr-acaciahebecladahebeclada-5,,afr,acaciahebecladahebeclada,volstruisbos,volstruisbos,,,vanderwalt1999[51],,,,,,,,,,,,,,,
afr-acaciahebecladahebeclada-6,,afr,acaciahebecladahebeclada,trassiedoring,trassiedoring,,,,,,,,,,,,,,,,,,
afr-acaciakarroo-1,,afr,acaciakarroo,soetdoring,soetdoring,,,eksteen1997[1363],,,,,,,,doring,,,,,,,
afr-acaciakarroo-2,,afr,acaciakarroo,soetdoorn,soetdoorn,,,,,,,,,,,,,,,,,,
afr-acacialuederitzii-1,,afr,acacialuederitzii,basterhaak-en-steek,basterhaak-en-steek,,,vanderwalt1999[49];vanrooyen2001[30],,,,,,,,basterhaak-en-steek,,,,,,,
afr-acacialuederitzii-2,,afr,acacialuederitzii,swartbas,swartbas,,,vanderwalt1999[49];vanrooyen2001[30],,,,,,,,,,,,,,,
afr-acacialuederitzii-3,,afr,acacialuederitzii,rooihaak,rooihaak,,,vanderwalt1999[49],,,,,,,,,,,,,,,
afr-acacialuederitzii-4,,afr,acacialuederitzii,basterkamel,basterkamel,,,vanderwalt1999[49],,,,,,,,,,,,,,,
