ID,Taxon_ID,objid,bitstreamid,tags,mime_type,creator,date,place,permission,source,Comment
2c8d24a1becba6f451aded1b280eb535,acaciaataxacantha,EAEA0-7406-9E56-A20F-0,,flower;thumbnail2,image/jpeg,JMK,2013-12-26,"Skeerpoort, Magaliesberg, South Africa",http://creativecommons.org/licenses/by-sa/3.0/deed.en,"http://commons.wikimedia.org/wiki/File:Acacia_ataxacantha,_bloeiwyses,_Skeerpoort,_b.jpg",
3896f6b23033400cec69f9311a168030,acaciaataxacantha,EAEA0-4CDB-07AF-43E7-0,,bark,image/jpeg,JMK,2013-08-10,"Little Eden, De Tweedespruit conservancy, Gauteng, South Africa",http://creativecommons.org/licenses/by-sa/3.0/deed.en,"http://commons.wikimedia.org/wiki/File:Acacia_ataxacantha,_bas,_Little_Eden.jpg",
48c9d885d8558e98d182714cb28e986c,acaciaataxacantha,EAEA0-3E4D-7593-FA47-0,,pod;thumbnail3,image/jpeg,JMK,2012-06-07,"Louwsburg, KwaZulu-Natal, South Africa",http://creativecommons.org/licenses/by-sa/3.0/deed.en,"http://commons.wikimedia.org/wiki/File:Acacia_ataxacantha,_loof_en_peule,_b,_Louwsburg.jpg",
8ed3b22ec18e59b42d44a292514c5836,acaciaataxacantha,EAEA0-AF46-01B6-4FA1-0,,wood,image/jpeg,Paul Venter,2012-08-19,"Honeydew, Johannesburg, South Africa",http://creativecommons.org/licenses/by-sa/3.0/deed.en,http://commons.wikimedia.org/wiki/File:Acacia_ataxacantha00.jpg,
e59cb9a65d98ec87884e9cbe46f00028,acaciaataxacantha,EAEA0-257D-976E-EFAE-0,,leaf;thumbnail4,image/jpeg,JMK,2013-12-06,"Skeerpoort, Magaliesberg, South Africa",http://creativecommons.org/licenses/by-sa/3.0/deed.en,"http://commons.wikimedia.org/wiki/File:Acacia_ataxacantha,_vyf_blare,_Skeerpoort.jpg",
edfa0bea1e754ca8ac1558ab50209d37,acaciaataxacantha,EAEA0-4FA0-CE88-6204-0,,general;thumbnail1,image/jpeg,JMK,2013-12-26,"Skeerpoort, Magaliesberg, South Africa",http://creativecommons.org/licenses/by-sa/3.0/deed.en,"http://commons.wikimedia.org/wiki/File:Acacia_ataxacantha,_habitus,_Skeerpoort.jpg",
4b126fe61bbb4a235a2bef2e8c571743,acaciacaffra,EAEA0-4CB5-D3B0-B844-0,,wood;bark;thumbnail4,image/jpeg,Paul Venter,2008-12-01,"Hamerkop, Magaliesberg, South Africa",http://creativecommons.org/licenses/by-sa/3.0/deed.en,http://commons.wikimedia.org/wiki/File:Acacia_caffra04.jpg,
588db995f719c676f629a2a58fb5cf4b,acaciacaffra,EAEA0-864A-AD69-2D0D-0,,seed;thumbnail3,image/jpeg,Paul Venter,circa 2000,"Hamerkop, Magaliesberg, South Africa",http://creativecommons.org/licenses/by-sa/3.0/deed.en,http://commons.wikimedia.org/wiki/File:Acacia_caffra07.jpg,
9618f9496932b7a787dbe3db7a61da51,acaciacaffra,EAEA0-6F37-B263-D8EC-0,,general;thumbnail1,image/jpeg,JMK,2014-01-04,"Walter Sisulu National Botanical Garden, Roodepoort, South Africa",http://creativecommons.org/licenses/by-sa/3.0/deed.en,"http://commons.wikimedia.org/wiki/File:Acacia_caffra,_habitus,_Walter_Sisulu_NBT.jpg",
bb0f99001ff4ed9de4dc7eb6255020e6,acaciacaffra,EAEA0-74A9-A122-560E-0,,flower;bud;thumbnail2,image/jpeg,Paul Venter,2000-09-13,"Honeydew, Johannesburg, South Africa",http://creativecommons.org/licenses/by-sa/3.0/deed.en,http://commons.wikimedia.org/wiki/File:Acacia_caffra08.jpg,
0534f16f2891d8058ef0cf7667f321fa,acaciaerioloba,EAEA0-DB8F-76B0-3D69-0,,leaf;thumbnail4,image/jpeg,Christfried Naumann,2005-01-25,"Namibia, Omaheke, Pos 17",http://en.wikipedia.org/wiki/Public_domain,,
0b41defc7c70d8af7f65ac3ca1ce82cd,acaciaerioloba,EAEA0-118E-DC8B-5CCB-0,,seed,image/jpeg,Christfried Naumann,2009-03-16,"Kang, Kgalagadi, Botswana",http://en.wikipedia.org/wiki/Public_domain,,
5b68d2710d89fc6a49a90f233a716171,acaciaerioloba,EAEA0-75F1-8BE0-D6F4-0,,general,image/jpeg,Christfried Naumann,2008-08-22,"Pos 17, Omaheke, Namibia",http://en.wikipedia.org/wiki/Public_domain,,
6388ce00ae0496d7d0db51ea2dc1d1e2,acaciaerioloba,EAEA0-7399-DB88-A381-0,,general,image/jpeg,Christfried Naumann,2005-01-25,"Namibia, Omaheke, Pos 17",http://en.wikipedia.org/wiki/Public_domain,,
6453fbb7fd98eb39a3ec3c25cb40b2b5,acaciaerioloba,EAEA0-BB2F-A07C-6E52-0,,seed;thumbnail3,image/jpeg,Christfried Naumann,2009-03-16,"Kang, Kgalagadi, Botswana",http://en.wikipedia.org/wiki/Public_domain,,
d551860e4ac2af444299bd9a53144c2c,acaciaerioloba,EAEA0-D757-E3FC-556D-0,,young,image/jpeg,Christfried Naumann,2005-01-25,"Namibia, Omaheke, Pos 17",http://en.wikipedia.org/wiki/Public_domain,,
d72ca4781b4308f1ed62ed04fa54a0ed,acaciaerioloba,EAEA0-955C-8B3A-0F37-0,,bark,image/jpeg,Christfried Naumann,2009-03-16,"Kang, Kgalagadi, Botswana",http://en.wikipedia.org/wiki/Public_domain,,
f038c5d30eeac981ce3e9a94f050da82,acaciaerioloba,EAEA0-1833-1099-E45D-0,,general;thumbnail1,image/jpeg,Christfried Naumann,2008-03-21,"Namibia, Omaheke, near Corridor Pos 1",http://en.wikipedia.org/wiki/Public_domain,,
316a8d5ced681a2fb36b2958d475c28e,acaciafleckiischinz,EAEA0-C27F-41AC-AC58-0,,pod;thumbnail3,image/jpeg,Bart Wursten,2010-01-13,"Road to Khami Ruins, Zimbabwe",http://creativecommons.org/licenses/by-nc/3.0/,http://www.zimbabweflora.co.zw/speciesdata/species-record.php?record_id=27532,
d54b7b254d82d9f1578a38e93370afed,acaciafleckiischinz,EAEA0-34C4-6447-C2DD-0,,flower;thumbnail2,image/jpeg,Bart Wursten,2010-01-06,"Hwange National Park, Zimbabwe",http://creativecommons.org/licenses/by-nc/3.0/,http://www.zimbabweflora.co.zw/speciesdata/species-record.php?record_id=27565,
d9d95c44a2202794f681eac7d3aafb1c,acaciafleckiischinz,EAEA0-492C-0DF6-C5DA-0,,leaf;flower;thumbnail1,image/jpeg,Bart Wursten,2010-01-06,"Hwange National Park, Zimbabwe",http://creativecommons.org/licenses/by-nc/3.0/,http://www.zimbabweflora.co.zw/speciesdata/species-record.php?record_id=26682,
2b6274da505864140f1cea0cce5c1b6d,acaciahebecladahebeclada,EAEA0-08EC-F74E-C8CB-0,,general;thumbnail2,image/jpeg,Christfried Naumann,2006,"Omaheke, Namibia",http://en.wikipedia.org/wiki/Public_domain,,
7b576ab28632b7f02537669f7b64acca,acaciahebecladahebeclada,EAEA0-1132-1EB3-2754-0,,leaf,image/jpeg,Christfried Naumann,2006,"Omaheke, Namibia",http://en.wikipedia.org/wiki/Public_domain,,
81b5143e2f8e8fe07a8d0a5cdb35f793,acaciahebecladahebeclada,EAEA0-F177-B600-B639-0,,leaf;thumbnail4,image/jpeg,Christfried Naumann,2005-02-11,"Namibia, Omaheke, Pos 17",http://en.wikipedia.org/wiki/Public_domain,,
bff3ca168a70ad56bb9c3cc72da63ed7,acaciahebecladahebeclada,EAEA0-EFDE-B81C-89DF-0,,leaf;thumbnail3,image/jpeg,Christfried Naumann,2005-02-11,"Namibia, Omaheke, Pos 17",http://en.wikipedia.org/wiki/Public_domain,,
c53a7d7ac67edce3bd1216c963681a67,acaciahebecladahebeclada,EAEA0-2854-701B-23BF-0,,branch,image/jpeg,Christfried Naumann,2005-02-11,"Namibia, Omaheke, Pos 17",http://en.wikipedia.org/wiki/Public_domain,,
