ID,Name,Glottocode,Glottolog_Name,ISO639P3code,Macroarea,Latitude,Longitude,Family
afr,Afrikaans,afri1274,Afrikaans,afr,Africa,-33.6,19.4,Indo-European
amh,Amharic,amha1245,Amharic,amh,Africa,10.8,38.6,Afro-Asiatic
arb,Arabic/Standard,stan1318,Standard Arabic,arb,Eurasia,27,42,Afro-Asiatic
asa,Pare,asut1235,Asu (Tanzania),asa,Africa,-4.2,37.8,Atlantic-Congo
bas,Basaa,basa1284,Basa (Cameroon),bas,Africa,3.9,10.1,Atlantic-Congo
bds,Burunge,buru1320,Burunge,bds,Africa,-5.6,36.1,Afro-Asiatic
bem,Bemba,bemb1257,Bemba (Zambia),bem,Africa,-10.4,29.7,Atlantic-Congo
byn,Bilin,bili1260,Bilin,byn,Africa,15.78,38.39,Afro-Asiatic
cce,Chopi,chop1243,Chopi,cce,Africa,-24.45,34.6,Atlantic-Congo
cjk,Chokwe,chok1245,Chokwe,cjk,Africa,-9.5,19.9,Atlantic-Congo
dal,Dahalo,daha1245,Dahalo,dal,Africa,-1.9,40.5,Afro-Asiatic
deu,German,stan1295,German,deu,Eurasia,,,Indo-European
diu,Manyo/Gciriku,diri1252,Diriku,diu,Africa,-18.1,20.6,Atlantic-Congo
dsh,Daasanach,daas1238,Daasanach,dsh,Africa,4.9,36.1,Afro-Asiatic
eng,English,stan1293,English,eng,Eurasia,,,Indo-European
ewo,Ewondo,ewon1239,Ewondo,ewo,Africa,3.4,11.7,Atlantic-Congo
fan,Fang,fang1246,Fang (Equatorial Guinea),fan,Africa,1.7,11.6,Atlantic-Congo
fwe,Fwe,fwee1238,Fwe,fwe,Africa,-17.9,24.5,Atlantic-Congo
gku,ǂUngkue†,vaal1235,Vaal-Orange,kqu,Africa,-29.0,25.5,Tuu
gmv,Gamo,gamo1243,Gamo,gmv,Africa,6.2,37.3,Ta-Ne-Omotic
guz,Gusii,gusi1247,Gusii,guz,Africa,-0.97,34.6,Atlantic-Congo
gwd-gol,Gawwada/Gollango,goll1242,Gollango,,Africa,5.38,37.27,Afro-Asiatic
gwj,Gǀui,gwii1239,/Gwi,gwj,Africa,-23.3,23.6,Khoe-Kwadi
hay,Haya,haya1250,Haya,hay,Africa,-1.7,31.5,Atlantic-Congo
her,Herero,here1253,Herero,her,Africa,-21.7,18.1,Atlantic-Congo
hio-g,Tshwa/Ganadi,tsoa1238,Northern Tshwa,hio,Africa,-18.5,25.7,Khoe-Kwadi
hio-h,Tshwa/Hietshware,tsoa1238,Northern Tshwa,hio,Africa,-20.7,26.7,Khoe-Kwadi
hts,Hadza,hadz1240,Hadza,hts,Africa,-3.6,34.8,Hadza
huc,ǂ'Amkoe,huaa1248,East Taa,nmn,Africa,-23.8,24.7,Tuu
ikx,Ik,ikkk1242,Ik,ikx,Africa,3.61,34.25,Kuliak
irk,Iraqw,iraq1241,Iraqw,irk,Africa,-3.9,35.4,Afro-Asiatic
kam,Kamba,kamb1297,Kamba (Kenya),kam,Africa,-1.61,37.95,Atlantic-Congo
kck,Kalanga,kala1384,Kalanga,kck,Africa,-21.7,27.8,Atlantic-Congo
kde,Makonde,mako1251,Makonde,kde,Africa,-10.8,39.6,Atlantic-Congo
kel,Kela,kela1254,Kela (Democratic Republic of Congo),kel,Africa,-1.39,24.01,Atlantic-Congo
kik,Kikuyu,kiku1240,Kikuyu,kik,Africa,-0.4,36.7,Atlantic-Congo
kin,Rwanda,kiny1244,Kinyarwanda,kin,Africa,-2.0,30.0,Atlantic-Congo
kmb,Kimbundu,kimb1241,Kimbundu,kmb,Africa,-9,14.9,Atlantic-Congo
knw,ǃXun,huaa1248,East Taa,nmn,Africa,-18.2,19.1,Tuu
kon,Kongo,core1256,Core Kikongo,,,-5.3,13.6,Atlantic-Congo
kqz,ǃOra†,kora1292,Korana,kqz,Africa,-29.0,20.1,Khoe-Kwadi
ktz,Juǀ'hoan,juho1239,South-Eastern Ju,ktz,Africa,-20.1,20.4,Kxa
kua,Wambo,kuan1247,Kuanyama,kua,Africa,-17.7,15.7,Atlantic-Congo
kuvale,Kuvale,,,,,-13.9,13.4,
kwn,Kwangali,kwan1273,Kwangali,kwn,Africa,-17.8,19.7,Atlantic-Congo
kwz,Kwadi†,kwad1244,Kwadi,kwz,Africa,-15.9,12.1,Khoe-Kwadi
laj,Lango,lang1324,Lango (Uganda),laj,Africa,2.14,33.06,Nilotic
lam,Lamba,lamb1271,Lamba,lam,Africa,-12.8,27.9,Atlantic-Congo
lch,Luchazi,luch1239,Luchazi,lch,Africa,-13.7,20.4,Atlantic-Congo
lea,Lega-Shabunda,lega1249,Lega-Shabunda,lea,Africa,-3.8,27.1,Atlantic-Congo
lin,Lingala,ling1263,Kinshasa Lingala,lin,Africa,-1.3,17.2,Atlantic-Congo
loz,Lozi,lozi1239,Lozi,loz,Africa,-16.85,24.0,Atlantic-Congo
lua,Luba-Kasai,luba1249,Luba-Lulua,lua,Africa,-5.9,22.3,Atlantic-Congo
