ID,Name,Concepticon_ID,Concepticon_Gloss,GBIF_ID,GBIF_NAME,canonicalName,rank,kingdom,kingdomKey,phylum,phylumKey,class_,classKey,order,orderKey,family,familyKey,genus,genusKey,Description
abutilonangulatum,Abutilon angulatum,,,7279613,Abutilon angulatum Mast.,Abutilon angulatum,SPECIES,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Malvales,941,Malvaceae,6685,Abutilon,3152599,
acaciaataxacantha,Acacia ataxacantha,,,3979509,Acacia ataxantha DC. ex Taub.,Acacia ataxantha,SPECIES,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Fabales,1370,Fabaceae,5386,Acacia,2978223,
acaciacaffra,Acacia caffra,,,3796193,Senegalia caffra (Thunb.) P.J.H.Hurter & Mabb.,Senegalia caffra,SPECIES,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Fabales,1370,Fabaceae,5386,Senegalia,7989631,
acaciaerioloba,Acacia erioloba,,,3974776,Vachellia erioloba (E.Mey.) P.J.H.Hurter,Vachellia erioloba,SPECIES,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Fabales,1370,Fabaceae,5386,Vachellia,8142432,"4 - 12 m tall, yellow flowers, woody pods 130 mm long, grey-green leaves 100 mm, leaflets 13 mm, straight thorns 60 mm, rough fissured bark"
acaciaerubescens,Acacia erubescens,,,7828119,Senegalia erubescens (Welw. ex Oliv.) Kyal. & Boatwr.,Senegalia erubescens,SPECIES,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Fabales,1370,Fabaceae,5386,Senegalia,7989631,
acaciafleckiischinz,Acacia fleckii Schinz,,,7912722,Senegalia fleckii (Schinz) Boatwr.,Senegalia fleckii,SPECIES,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Fabales,1370,Fabaceae,5386,Senegalia,7989631,
acaciahaematoxylon,Acacia haematoxylon,,,7788531,Vachellia haematoxylon (Willd.) Seigler & Ebinger,Vachellia haematoxylon,SPECIES,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Fabales,1370,Fabaceae,5386,Vachellia,8142432,"up to 8 m tall, yellow flowers, leaves and pods with fine grey hairs"
acaciahebecladahebeclada,Acacia hebeclada hebeclada,,,7648787,Vachellia hebeclada subsp. hebeclada,Vachellia hebeclada hebeclada,SUBSPECIES,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Fabales,1370,Fabaceae,5386,Vachellia,8142432,"2 – 6 m tall, white flowers, hairy leaves and pods"
acaciahereroensis,Acacia hereroensis,,,7941364,Senegalia hereroensis (Engl.) Kyal. & Boatwr.,Senegalia hereroensis,SPECIES,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Fabales,1370,Fabaceae,5386,Senegalia,7989631,"5 m tall; paired, hooked thorns; long spikes of cream-coloured flowers; fruit is a long, flat, red-brown pod"
acaciakarroo,Acacia karroo,,,3974754,Vachellia karroo (Hayne) Banfi & Galasso,Vachellia karroo,SPECIES,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Fabales,1370,Fabaceae,5386,Vachellia,8142432,"3 - 6 m tall, yellow flowers"
acacialuederitzii,Acacia luederitzii,,,7861045,Vachellia luederitzii (Engl.) Kyal. & Boatwr.,Vachellia luederitzii,SPECIES,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Fabales,1370,Fabaceae,5386,Vachellia,8142432,"up to 8 m tall, creamy-white flowers"
acaciamellifera,Acacia mellifera,,,9199495,Acacia mellifera Vahl,Acacia mellifera,SPECIES,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Fabales,1370,Fabaceae,5386,Acacia,2978223,"shrub, white flowers, small feather-shaped round leaves, small blackish hook thorns in pairs, very thorny"
