ID,Name,canonicalName,GBIF_ID,GBIF_NAME,rank,kingdom,phylum,class_,order,family,genus,kingdomKey,phylumKey,classKey,orderKey,familyKey,genusKey
abutilonangulatum,Abutilon angulatum,Abutilon angulatum,7279613,Abutilon angulatum Mast.,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Malvales,Malvaceae,Abutilon,6,7707728,220,941,6685,3152599
acaciaataxacantha,Acacia ataxacantha,Acacia ataxantha,3979509,Acacia ataxantha DC. ex Taub.,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Acacia,6,7707728,220,1370,5386,2978223
acaciacaffra,Acacia caffra,Senegalia caffra,3796193,Senegalia caffra (Thunb.) P.J.H.Hurter & Mabb.,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Senegalia,6,7707728,220,1370,5386,7989631
acaciaerioloba,Acacia erioloba,Vachellia erioloba,3974776,Vachellia erioloba (E.Mey.) P.J.H.Hurter,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Vachellia,6,7707728,220,1370,5386,8142432
acaciaerubescens,Acacia erubescens,Senegalia erubescens,7828119,Senegalia erubescens (Welw. ex Oliv.) Kyal. & Boatwr.,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Senegalia,6,7707728,220,1370,5386,7989631
acaciafleckiischinz,Acacia fleckii Schinz,Senegalia fleckii,7912722,Senegalia fleckii (Schinz) Boatwr.,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Senegalia,6,7707728,220,1370,5386,7989631
acaciahaematoxylon,Acacia haematoxylon,Vachellia haematoxylon,7788531,Vachellia haematoxylon (Willd.) Seigler & Ebinger,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Vachellia,6,7707728,220,1370,5386,8142432
acaciahebecladahebeclada,Acacia hebeclada hebeclada,Vachellia hebeclada hebeclada,7648787,Vachellia hebeclada subsp. hebeclada,SUBSPECIES,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Vachellia,6,7707728,220,1370,5386,8142432
acaciahereroensis,Acacia hereroensis,Senegalia hereroensis,7941364,Senegalia hereroensis (Engl.) Kyal. & Boatwr.,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Senegalia,6,7707728,220,1370,5386,7989631
acaciakarroo,Acacia karroo,Vachellia karroo,3974754,Vachellia karroo (Hayne) Banfi & Galasso,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Vachellia,6,7707728,220,1370,5386,8142432
