id,name,glottocode,contributors__ids,description,lineages__id,latitude,longitude,region,2nd_languages
afr,Afrikaans,afri1274,hk,Afrikaans is a Germanic language spoken by about 7 million native speakers mainly in South Africa and Namibia. It is represented here in the standard orthography.,germanic,-33.6,19.4,Southern Africa,eng;xho;tsn;naq
amh,Amharic,amha1245,,Amharic is a Semitic languages spoken by about 22 million native speakers mainly in Ethiopia.,semitic,10.8,38.6,Eastern Africa,eng;arb;som
arb,Arabic/Standard,stan1318,,"Standard Arabic (Modern Standard Arabic, Literary Arabic, similar: Classical Arabic) is the standardized variety of Arabic used in writing and highly formal speech. It is an official language in 27 states in western Asia and northern Africa. Standard Arabic is represented here in the Hans Wehr transliteration.",semitic,27,42,Western Asia,eng;fra;amh
asa,Pare,asut1235,,,bantoid,-4.2,37.8,Eastern Africa,eng;swh
bas,Basaa,basa1284,,"Basaa (Basa, Mbene) is a Bantu language (A43) spoken by about 300 000 speakers in central-west Cameroon.",bantoid,3.9,10.1,Middle Africa,eng;fra;ewo
bds,Burunge,buru1320,,Burunge is a Southern Cushitic language spoken by about 13 000 speakers in Tanzania. It is represented here in the standardized orthography.,cushitic,-5.6,36.1,Eastern Africa,eng;swh
bds,Burunge,buru1320,,"Burunge is a South Cushitic language spoken in Tanzania by 13,000 native speakers (2002). In the transcription used by Ström1993 (cf. p. 8), q and ˀ = uvular and glottal stop, x hh = voiceless velar and pharyngeal fricative, ˁ = voiced pharyngeal fricative, hl = voiceless lateral fricative, tl = voiceless lateral affricate, c j = palatal affricates, ny ŋ = palatal and velar stop, y = palatal glide; tone and stress are (not consistently) marked as x́ and x̀.",,-5.21,35.96,,
bem,Bemba,bemb1257,,,bantoid,-10.4,29.7,Eastern Africa,eng;swh
byn,Bilin,bili1260,,Bilin (Bilen) is a Central Cushitic (or Agaw) language spoken by about 90 000 speakers in central Eritrea and eastern Sudan.,cushitic,15.78,38.39,Eastern Africa,eng;tir;arb
byn,Bilin,bili1260,,"Bilin (Bilen, Blin) is a Central Cushitic language spoken in central Eritrea and eastern Sudan by 91,000 native speakers. In the orthography used by Appleyard 2006 (cf. pp. 10-20), ’ marks glottalised consonants, c = [ts], č = [tʃ], z = [z], q ɣ = uvular stops [q] [ɢ], y = [j].",,15.78,38.39,,
cce,Chopi,chop1243,,,bantoid,-24.45,34.6,Eastern Africa,eng;swh
cjk,Chokwe,chok1245,,,bantoid,-9.5,19.9,Middle Africa,eng;por
dal,Dahalo,daha1245,,Dahalo is an endangered Cushitic language spoken by ca. 400 speakers on the northern coast of Kenya. It is represented here in IPA according to Maddieson et al. (1993).,cushitic,-1.9,40.5,Eastern Africa,eng;swh
