id,scientific_name,synonyms,description,english_name,kingdom,phylum,class,order,family,genus,characteristics,biotope,countries__ids,general_uses,notes,refs__ids,links
abutilonangulatum,Abutilon angulatum,,,Fluted abutilon,Plantae,,,,,,,,,,,,
acaciaataxacantha,Acacia ataxacantha,,,Flamethorn,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Acacia,,,"BW,ZA",,,,
acaciacaffra,Acacia caffra,,,Cat-thorn,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Acacia,,,"BW,NA,ZA",,,,
acaciaerioloba,Acacia erioloba,Acacia giraffae;Vachellia erioloba,E.Mey.,Camel thorn,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Acacia,"4 - 12 m tall, yellow flowers, woody pods 130 mm long, grey-green leaves 100 mm, leaflets 13 mm, straight thorns 60 mm, rough fissured bark","arid savanna, grassland, dry river course","BW,NA,ZA",,,carruthers2000[250];vanderwalt1999[39];vanrooyen2001[26],
acaciaerubescens,Acacia erubescens,,,Blue thorn,Plantae,,,,,,,,,,,,
acaciafleckiischinz,Acacia fleckii Schinz,,,Blade thorn,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Acacia,,,"BW,ZA",,,,
acaciahaematoxylon,Acacia haematoxylon,,,Grey camel thorn,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Acacia,"up to 8 m tall, yellow flowers, leaves and pods with fine grey hairs","desert, semi-desert, sandy soil, dune","BW,NA,ZA",,,vanderwalt1999[47];vanrooyen2001[28],
acaciahebecladahebeclada,Acacia hebeclada hebeclada,,,Candle thorn,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Acacia,"2 – 6 m tall, white flowers, hairy leaves and pods","dry savanna, grassland, dry river course, dune","BW,NA,ZA",,"A. hebeclada in vanderwalt1999[51]; A. hebeclada hebeclada is a subspecies, for the species also eol 685061, seems to be renamed to Vachellia hebeclada (cf http://en.wikipedia.org/wiki/Vachellia)",vanderwalt1999[51];vanrooyen2001[42],
acaciahereroensis,Acacia hereroensis,,,Mountain thorn,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Acacia,"5 m tall; paired, hooked thorns; long spikes of cream-coloured flowers; fruit is a long, flat, red-brown pod",rocky area,"BW,NA,ZA",,,burke2007[26],
acaciakarroo,Acacia karroo,,,Sweet thorn,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Acacia,"3 - 6 m tall, yellow flowers","savanna, arid savanna, grassland, river course","BW,ZA",,,carruthers2000[250];vanrooyen2001[30],
acacialuederitzii,Acacia luederitzii,Acacia reficiens?,,Kalahari-sand acacia,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Acacia,"up to 8 m tall, creamy-white flowers","shrubland, grassland","BW,NA,ZA",,"cf. Acacia reficiens (vanderwalt1999[49] says A. reficiens was formerly used, but still seems to be used or is at least very similar); False umbrella thorn in words.csv and vanderwalt1999[49], maybe change name here?; seems to be renamed to Vachellia (cf http://en.wikipedia.org/wiki/Vachellia)",vanderwalt1999[49];vanrooyen2001[30],
acaciamellifera,Acacia mellifera,,,Black thorn,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Acacia,"shrub, white flowers, small feather-shaped round leaves, small blackish hook thorns in pairs, very thorny","dry savanna, grassland","BW,NA,ZA",,,vanderwalt1999[64];vanrooyen2001[42],
acacianebrownii,Acacia nebrownii,,,Water thorn,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Acacia,,,"BW,NA,ZA",,,,
acacianigrescens,Acacia nigrescens,,,Knob thorn,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Acacia,,,"BW,ZA",,,,
acacianiloticasubspkraussiana,Acacia nilotica subsp. kraussiana,,,"Scented thorn, Scented-pod acacia",Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Acacia,,,"BW,NA,ZA",,,,
acaciarobusta,Acacia robusta,,,Splendid thorn,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Acacia,,,"BW,NA,ZA",,,,
acaciasenegal,Acacia senegal,Senegalia senegal,,Senegal gum,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Acacia,,,,,,,
acaciatortilissubspheteracantha,Acacia tortilis subsp. heteracantha,,,Umbrella thorn,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Acacia,,,"BW,NA,ZA",,,,
acalyphasegetalis,Acalypha segetalis,,,,Plantae,,,,,,,,,,,,
acanthoplus,Acanthoplus,,,,Animalia,,,,,,,,,,,,
acanthoplusdiscoidalis,Acanthoplus discoidalis,,,Armoured ground cricket,Animalia,Arthropoda,Insecta,Orthoptera,Tettigoniidae,Acanthoplus,,,,,,,
acanthosicyosnaudinianus,Acanthosicyos naudinianus,,,Gemsbok cucumber,Viridiplantae,Streptophyta,,Cucurbitales,Cucurbitaceae,Citrullus,"melon plant, creeping growth, yellow flowers, yellow, thorny, oval-shaped fruits of approx. 250 g, fruit and seeds edible, long root tuber","sandy soil, dune","BW,NA,ZA",,,vanrooyen2001[146],
